,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
32,382.0874947,6.724990191,34.11465457,7.480919137,0.142857143,0.333333333,0.058823529,12,364.293,173.558,968.628,75.56977673,-0.0053,3.72544,2,4,0,83.83,29.96,389.2,0
33,382.0874947,6.724990191,16.76984402,7.480919137,0.142857143,0.333333333,0.208333333,12,364.293,173.558,330.285,75.56977673,-0.0053,3.72544,2,0,0,83.83,29.96,18.84,0
34,382.0874947,34.11465457,16.76984402,45.38064089,0.142857143,0.058823529,0.208333333,64,364.293,968.628,330.285,452.2529366,-0.0053,3.72544,20,0,11,83.83,389.2,18.84,1
35,181.0294416,34.11465457,16.76984402,45.38064089,0.333333333,0.058823529,0.208333333,64,173.558,968.628,330.285,452.2529366,-0.0053,2.17232,20,0,11,29.96,389.2,18.84,1
36,510.2298727,16.63970734,19.76006718,16.63970734,0.2,0.142857143,0.285714286,29,479.825,364.287,412.319,168.8935364,-0.0053,3.9963,8,1,4,47.97,153.52,56.69,1
37,510.2298727,16.63970734,12.73011839,16.63970734,0.2,0.142857143,0.235294118,29,479.825,364.287,278.206,168.8935364,-0.0053,3.9963,8,1,4,47.97,153.52,65.26,0
38,510.2298727,19.76006718,12.73011839,19.76006718,0.2,0.285714286,0.235294118,33,479.825,412.319,278.206,194.1164603,-0.0053,3.9963,3,1,7,47.97,56.69,65.26,1
39,388.2123928,19.76006718,12.73011839,19.76006718,0.142857143,0.285714286,0.235294118,33,364.287,412.319,278.206,194.1164603,-0.0053,5.77146,3,1,7,153.52,56.69,65.26,0
40,181.0294416,7.058709813,35.78682347,7.058709813,0.333333333,0,0,14,173.558,184.106,1006.704,78.40010454,-0.0053,2.17232,3,2,1,29.96,67.51,349.21,1
41,181.0294416,7.058709813,12.73011839,7.058709813,0.333333333,0,0.235294118,14,173.558,184.106,278.206,78.40010454,-0.0053,2.17232,3,1,1,29.96,67.51,65.26,1
42,181.0294416,35.78682347,12.73011839,47.05280979,0.333333333,0,0.235294118,68,173.558,1006.704,278.206,474.9719444,-0.0053,2.17232,20,1,10,29.96,349.21,65.26,0
43,190.0266087,35.78682347,12.73011839,47.05280979,0,0,0.235294118,68,184.106,1006.704,278.206,474.9719444,-0.0053,1.4912,20,1,10,67.51,349.21,65.26,0
44,181.0294416,34.11465457,12.73011839,45.38064089,0.333333333,0.058823529,0.235294118,64,173.558,968.628,278.206,452.2529366,-0.0053,2.17232,20,1,11,29.96,389.2,65.26,0
45,181.0294416,34.11465457,21.63571365,45.38064089,0.333333333,0.058823529,0.2,64,173.558,968.628,479.825,452.2529366,-0.0053,2.17232,20,0,11,29.96,389.2,47.97,1
46,181.0294416,12.73011839,21.63571365,12.73011839,0.333333333,0.235294118,0.2,22,173.558,278.206,479.825,129.4755753,-0.0053,2.17232,4,0,6,29.96,65.26,47.97,1
47,991.9722398,12.73011839,21.63571365,12.73011839,0.058823529,0.235294118,0.2,22,968.628,278.206,479.825,129.4755753,-0.0053,-7.8628,4,0,6,389.2,65.26,47.97,1
