,1_ExactMolWt,2_ExactMolWt,3_ExactMolWt,4_ExactMolWt,5_ExactMolWt,6_ExactMolWt,1_Chi0n,2_Chi0n,3_Chi0n,4_Chi0n,5_Chi0n,6_Chi0n,1_Chi0v,2_Chi0v,3_Chi0v,4_Chi0v,5_Chi0v,6_Chi0v,1_FractionCSP3,2_FractionCSP3,3_FractionCSP3,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,1_HeavyAtomCount,2_HeavyAtomCount,3_HeavyAtomCount,4_HeavyAtomCount,5_HeavyAtomCount,6_HeavyAtomCount,1_HeavyAtomMolWt,2_HeavyAtomMolWt,3_HeavyAtomMolWt,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,1_LabuteASA,2_LabuteASA,3_LabuteASA,4_LabuteASA,5_LabuteASA,6_LabuteASA,1_MolLogP,2_MolLogP,3_MolLogP,4_MolLogP,5_MolLogP,6_MolLogP,1_NumAliphaticRings,2_NumAliphaticRings,3_NumAliphaticRings,4_NumAliphaticRings,5_NumAliphaticRings,6_NumAliphaticRings,1_NumAromaticCarbocycles,2_NumAromaticCarbocycles,3_NumAromaticCarbocycles,4_NumAromaticCarbocycles,5_NumAromaticCarbocycles,6_NumAromaticCarbocycles,1_NumHAcceptors,2_NumHAcceptors,3_NumHAcceptors,4_NumHAcceptors,5_NumHAcceptors,6_NumHAcceptors,1_NumHDonors,2_NumHDonors,3_NumHDonors,4_NumHDonors,5_NumHDonors,6_NumHDonors,1_NumRotatableBonds,2_NumRotatableBonds,3_NumRotatableBonds,4_NumRotatableBonds,5_NumRotatableBonds,6_NumRotatableBonds,1_TPSA,2_TPSA,3_TPSA,4_TPSA,5_TPSA,6_TPSA,OUTPUT
10,73.05276384,73.05276384,48.97192668,1028.982745,443.2334679,388.2123928,3.432812155,3.432812155,0.825178069,35.78682347,19.76006718,16.63970734,3.432812155,3.432812155,1.581107015,47.05280979,19.76006718,16.63970734,0.666666667,0.666666667,0,0,0.285714286,0.142857143,5,5,2,68,33,29,66.039,66.039,49.46,1006.704,412.319,364.287,31.39049103,31.39049103,19.65732138,474.9719444,194.1164603,168.8935364,-0.2956,-0.2956,-3.4766,-3.5342,5.561,5.77146,0,0,0,0,2,0,0,0,0,8,2,3,1,1,0,20,3,8,0,0,0,2,1,4,1,1,0,10,7,4,20.31,20.31,30.5,349.21,56.69,153.52,0
11,73.05276384,73.05276384,48.97192668,297.1477268,443.2334679,388.2123928,3.432812155,3.432812155,0.825178069,12.73011839,19.76006718,16.63970734,3.432812155,3.432812155,1.581107015,12.73011839,19.76006718,16.63970734,0.666666667,0.666666667,0,0.235294118,0.285714286,0.142857143,5,5,2,22,33,29,66.039,66.039,49.46,278.206,412.319,364.287,31.39049103,31.39049103,19.65732138,129.4755753,194.1164603,168.8935364,-0.2956,-0.2956,-3.4766,4.6464,5.561,5.77146,0,0,0,0,2,0,0,0,0,2,2,3,1,1,0,4,3,8,0,0,0,1,1,4,1,1,0,6,7,4,20.31,20.31,30.5,65.26,56.69,153.52,1
12,73.05276384,73.05276384,48.97192668,443.2334679,388.2123928,991.9722398,3.432812155,3.432812155,0.825178069,19.76006718,16.63970734,34.11465457,3.432812155,3.432812155,1.581107015,19.76006718,16.63970734,45.38064089,0.666666667,0.666666667,0,0.285714286,0.142857143,0.058823529,5,5,2,33,29,64,66.039,66.039,49.46,412.319,364.287,968.628,31.39049103,31.39049103,19.65732138,194.1164603,168.8935364,452.2529366,-0.2956,-0.2956,-3.4766,5.561,5.77146,-7.8628,0,0,0,2,0,0,0,0,0,2,3,6,1,1,0,3,8,20,0,0,0,1,4,4,1,1,0,7,4,11,20.31,20.31,30.5,56.69,153.52,389.2,0
13,73.05276384,73.05276384,48.97192668,443.2334679,388.2123928,190.0266087,3.432812155,3.432812155,0.825178069,19.76006718,16.63970734,7.058709813,3.432812155,3.432812155,1.581107015,19.76006718,16.63970734,7.058709813,0.666666667,0.666666667,0,0.285714286,0.142857143,0,5,5,2,33,29,14,66.039,66.039,49.46,412.319,364.287,184.106,31.39049103,31.39049103,19.65732138,194.1164603,168.8935364,78.40010454,-0.2956,-0.2956,-3.4766,5.561,5.77146,1.4912,0,0,0,2,0,0,0,0,0,2,3,1,1,1,0,3,8,3,0,0,0,1,4,1,1,1,0,7,4,1,20.31,20.31,30.5,56.69,153.52,67.51,1
14,73.05276384,73.05276384,48.97192668,443.2334679,991.9722398,190.0266087,3.432812155,3.432812155,0.825178069,19.76006718,34.11465457,7.058709813,3.432812155,3.432812155,1.581107015,19.76006718,45.38064089,7.058709813,0.666666667,0.666666667,0,0.285714286,0.058823529,0,5,5,2,33,64,14,66.039,66.039,49.46,412.319,968.628,184.106,31.39049103,31.39049103,19.65732138,194.1164603,452.2529366,78.40010454,-0.2956,-0.2956,-3.4766,5.561,-7.8628,1.4912,0,0,0,2,0,0,0,0,0,2,6,1,1,1,0,3,20,3,0,0,0,1,4,1,1,1,0,7,11,1,20.31,20.31,30.5,56.69,389.2,67.51,1
15,73.05276384,73.05276384,48.97192668,388.2123928,991.9722398,190.0266087,3.432812155,3.432812155,0.825178069,16.63970734,34.11465457,7.058709813,3.432812155,3.432812155,1.581107015,16.63970734,45.38064089,7.058709813,0.666666667,0.666666667,0,0.142857143,0.058823529,0,5,5,2,29,64,14,66.039,66.039,49.46,364.287,968.628,184.106,31.39049103,31.39049103,19.65732138,168.8935364,452.2529366,78.40010454,-0.2956,-0.2956,-3.4766,5.77146,-7.8628,1.4912,0,0,0,0,0,0,0,0,0,3,6,1,1,1,0,8,20,3,0,0,0,4,4,1,1,1,0,4,11,1,20.31,20.31,30.5,153.52,389.2,67.51,0
16,73.05276384,73.05276384,365.8133263,388.2123928,382.0874947,1028.982745,3.432812155,3.432812155,1.255928946,16.63970734,14.80092304,35.78682347,3.432812155,3.432812155,8.315404218,16.63970734,15.61741963,47.05280979,0.666666667,0.666666667,0,0.142857143,0.142857143,0,5,5,3,29,27,68,66.039,66.039,367.008,364.287,364.293,1006.704,31.39049103,31.39049103,42.8030803,168.8935364,157.1710017,474.9719444,-0.2956,-0.2956,1.3104,5.77146,3.72544,-3.5342,0,0,0,0,1,0,0,0,0,3,3,8,1,1,0,8,5,20,0,0,0,4,2,2,1,1,0,4,2,10,20.31,20.31,0,153.52,83.83,349.21,1
17,73.05276384,73.05276384,365.8133263,388.2123928,382.0874947,443.2334679,3.432812155,3.432812155,1.255928946,16.63970734,14.80092304,19.76006718,3.432812155,3.432812155,8.315404218,16.63970734,15.61741963,19.76006718,0.666666667,0.666666667,0,0.142857143,0.142857143,0.285714286,5,5,3,29,27,33,66.039,66.039,367.008,364.287,364.293,412.319,31.39049103,31.39049103,42.8030803,168.8935364,157.1710017,194.1164603,-0.2956,-0.2956,1.3104,5.77146,3.72544,5.561,0,0,0,0,1,2,0,0,0,3,3,2,1,1,0,8,5,3,0,0,0,4,2,1,1,1,0,4,2,7,20.31,20.31,0,153.52,83.83,56.69,1
18,73.05276384,73.05276384,365.8133263,388.2123928,1028.982745,443.2334679,3.432812155,3.432812155,1.255928946,16.63970734,35.78682347,19.76006718,3.432812155,3.432812155,8.315404218,16.63970734,47.05280979,19.76006718,0.666666667,0.666666667,0,0.142857143,0,0.285714286,5,5,3,29,68,33,66.039,66.039,367.008,364.287,1006.704,412.319,31.39049103,31.39049103,42.8030803,168.8935364,474.9719444,194.1164603,-0.2956,-0.2956,1.3104,5.77146,-3.5342,5.561,0,0,0,0,0,2,0,0,0,3,8,2,1,1,0,8,20,3,0,0,0,4,2,1,1,1,0,4,10,7,20.31,20.31,0,153.52,349.21,56.69,1
19,73.05276384,73.05276384,365.8133263,382.0874947,1028.982745,443.2334679,3.432812155,3.432812155,1.255928946,14.80092304,35.78682347,19.76006718,3.432812155,3.432812155,8.315404218,15.61741963,47.05280979,19.76006718,0.666666667,0.666666667,0,0.142857143,0,0.285714286,5,5,3,27,68,33,66.039,66.039,367.008,364.293,1006.704,412.319,31.39049103,31.39049103,42.8030803,157.1710017,474.9719444,194.1164603,-0.2956,-0.2956,1.3104,3.72544,-3.5342,5.561,0,0,0,1,0,2,0,0,0,3,8,2,1,1,0,5,20,3,0,0,0,2,2,1,1,1,0,2,10,7,20.31,20.31,0,83.83,349.21,56.69,0
