,4_ExactMolWt,5_Chi0n,6_Chi0n,5_Chi0v,4_FractionCSP3,5_FractionCSP3,6_FractionCSP3,5_HeavyAtomCount,4_HeavyAtomMolWt,5_HeavyAtomMolWt,6_HeavyAtomMolWt,5_LabuteASA,2_MolLogP,4_MolLogP,5_NumHAcceptors,6_NumHDonors,5_NumRotatableBonds,4_TPSA,5_TPSA,6_TPSA,OUTPUT
32,382.0874947,12.73011839,16.76984402,12.73011839,0.142857143,0.235294118,0.208333333,22,364.293,278.206,330.285,129.4755753,-0.2956,3.72544,4,0,6,83.83,65.26,18.84,
33,382.0874947,12.73011839,12.73011839,12.73011839,0.142857143,0.235294118,0.235294118,22,364.293,278.206,278.206,129.4755753,-0.2956,3.72544,4,1,6,83.83,65.26,65.26,
34,382.0874947,12.73011839,6.724990191,12.73011839,0.142857143,0.235294118,0.333333333,22,364.293,278.206,173.558,129.4755753,-0.2956,3.72544,4,0,6,83.83,65.26,29.96,
35,382.0874947,12.73011839,19.76006718,12.73011839,0.142857143,0.235294118,0.285714286,22,364.293,278.206,412.319,129.4755753,-0.2956,3.72544,4,1,6,83.83,65.26,56.69,
36,382.0874947,12.73011839,7.058709813,12.73011839,0.142857143,0.235294118,0,22,364.293,278.206,184.106,129.4755753,-0.2956,3.72544,4,1,6,83.83,65.26,67.51,
37,382.0874947,12.73011839,34.11465457,12.73011839,0.142857143,0.235294118,0.058823529,22,364.293,278.206,968.628,129.4755753,-0.2956,3.72544,4,4,6,83.83,65.26,389.2,
38,382.0874947,12.73011839,35.78682347,12.73011839,0.142857143,0.235294118,0,22,364.293,278.206,1006.704,129.4755753,-0.2956,3.72544,4,2,6,83.83,65.26,349.21,
39,382.0874947,12.73011839,16.63970734,12.73011839,0.142857143,0.235294118,0.142857143,22,364.293,278.206,364.287,129.4755753,-0.2956,3.72544,4,4,6,83.83,65.26,153.52,
40,382.0874947,6.724990191,14.80092304,7.480919137,0.142857143,0.333333333,0.142857143,12,364.293,173.558,364.293,75.56977673,-0.2956,3.72544,2,2,0,83.83,29.96,83.83,
41,382.0874947,6.724990191,21.63571365,7.480919137,0.142857143,0.333333333,0.2,12,364.293,173.558,479.825,75.56977673,-0.2956,3.72544,2,0,0,83.83,29.96,47.97,
42,382.0874947,6.724990191,16.76984402,7.480919137,0.142857143,0.333333333,0.208333333,12,364.293,173.558,330.285,75.56977673,-0.2956,3.72544,2,0,0,83.83,29.96,18.84,
43,382.0874947,6.724990191,12.73011839,7.480919137,0.142857143,0.333333333,0.235294118,12,364.293,173.558,278.206,75.56977673,-0.2956,3.72544,2,1,0,83.83,29.96,65.26,
44,382.0874947,6.724990191,6.724990191,7.480919137,0.142857143,0.333333333,0.333333333,12,364.293,173.558,173.558,75.56977673,-0.2956,3.72544,2,0,0,83.83,29.96,29.96,
45,382.0874947,6.724990191,19.76006718,7.480919137,0.142857143,0.333333333,0.285714286,12,364.293,173.558,412.319,75.56977673,-0.2956,3.72544,2,1,0,83.83,29.96,56.69,
46,382.0874947,6.724990191,7.058709813,7.480919137,0.142857143,0.333333333,0,12,364.293,173.558,184.106,75.56977673,-0.2956,3.72544,2,1,0,83.83,29.96,67.51,
47,382.0874947,6.724990191,34.11465457,7.480919137,0.142857143,0.333333333,0.058823529,12,364.293,173.558,968.628,75.56977673,-0.2956,3.72544,2,4,0,83.83,29.96,389.2,
48,382.0874947,6.724990191,35.78682347,7.480919137,0.142857143,0.333333333,0,12,364.293,173.558,1006.704,75.56977673,-0.2956,3.72544,2,2,0,83.83,29.96,349.21,
49,382.0874947,6.724990191,16.63970734,7.480919137,0.142857143,0.333333333,0.142857143,12,364.293,173.558,364.287,75.56977673,-0.2956,3.72544,2,4,0,83.83,29.96,153.52,
50,382.0874947,19.76006718,14.80092304,19.76006718,0.142857143,0.285714286,0.142857143,33,364.293,412.319,364.293,194.1164603,-0.2956,3.72544,3,2,7,83.83,56.69,83.83,
51,382.0874947,19.76006718,21.63571365,19.76006718,0.142857143,0.285714286,0.2,33,364.293,412.319,479.825,194.1164603,-0.2956,3.72544,3,0,7,83.83,56.69,47.97,
52,382.0874947,19.76006718,16.76984402,19.76006718,0.142857143,0.285714286,0.208333333,33,364.293,412.319,330.285,194.1164603,-0.2956,3.72544,3,0,7,83.83,56.69,18.84,
53,382.0874947,19.76006718,12.73011839,19.76006718,0.142857143,0.285714286,0.235294118,33,364.293,412.319,278.206,194.1164603,-0.2956,3.72544,3,1,7,83.83,56.69,65.26,
54,382.0874947,19.76006718,6.724990191,19.76006718,0.142857143,0.285714286,0.333333333,33,364.293,412.319,173.558,194.1164603,-0.2956,3.72544,3,0,7,83.83,56.69,29.96,
55,382.0874947,19.76006718,19.76006718,19.76006718,0.142857143,0.285714286,0.285714286,33,364.293,412.319,412.319,194.1164603,-0.2956,3.72544,3,1,7,83.83,56.69,56.69,
56,382.0874947,19.76006718,7.058709813,19.76006718,0.142857143,0.285714286,0,33,364.293,412.319,184.106,194.1164603,-0.2956,3.72544,3,1,7,83.83,56.69,67.51,
57,382.0874947,19.76006718,34.11465457,19.76006718,0.142857143,0.285714286,0.058823529,33,364.293,412.319,968.628,194.1164603,-0.2956,3.72544,3,4,7,83.83,56.69,389.2,
58,382.0874947,19.76006718,35.78682347,19.76006718,0.142857143,0.285714286,0,33,364.293,412.319,1006.704,194.1164603,-0.2956,3.72544,3,2,7,83.83,56.69,349.21,
59,382.0874947,19.76006718,16.63970734,19.76006718,0.142857143,0.285714286,0.142857143,33,364.293,412.319,364.287,194.1164603,-0.2956,3.72544,3,4,7,83.83,56.69,153.52,
60,382.0874947,7.058709813,14.80092304,7.058709813,0.142857143,0,0.142857143,14,364.293,184.106,364.293,78.40010454,-0.2956,3.72544,3,2,1,83.83,67.51,83.83,
61,382.0874947,7.058709813,21.63571365,7.058709813,0.142857143,0,0.2,14,364.293,184.106,479.825,78.40010454,-0.2956,3.72544,3,0,1,83.83,67.51,47.97,
62,382.0874947,7.058709813,16.76984402,7.058709813,0.142857143,0,0.208333333,14,364.293,184.106,330.285,78.40010454,-0.2956,3.72544,3,0,1,83.83,67.51,18.84,
63,382.0874947,7.058709813,12.73011839,7.058709813,0.142857143,0,0.235294118,14,364.293,184.106,278.206,78.40010454,-0.2956,3.72544,3,1,1,83.83,67.51,65.26,
64,382.0874947,7.058709813,6.724990191,7.058709813,0.142857143,0,0.333333333,14,364.293,184.106,173.558,78.40010454,-0.2956,3.72544,3,0,1,83.83,67.51,29.96,
65,382.0874947,7.058709813,19.76006718,7.058709813,0.142857143,0,0.285714286,14,364.293,184.106,412.319,78.40010454,-0.2956,3.72544,3,1,1,83.83,67.51,56.69,
66,382.0874947,7.058709813,7.058709813,7.058709813,0.142857143,0,0,14,364.293,184.106,184.106,78.40010454,-0.2956,3.72544,3,1,1,83.83,67.51,67.51,
67,382.0874947,7.058709813,34.11465457,7.058709813,0.142857143,0,0.058823529,14,364.293,184.106,968.628,78.40010454,-0.2956,3.72544,3,4,1,83.83,67.51,389.2,
68,382.0874947,7.058709813,35.78682347,7.058709813,0.142857143,0,0,14,364.293,184.106,1006.704,78.40010454,-0.2956,3.72544,3,2,1,83.83,67.51,349.21,
69,382.0874947,7.058709813,16.63970734,7.058709813,0.142857143,0,0.142857143,14,364.293,184.106,364.287,78.40010454,-0.2956,3.72544,3,4,1,83.83,67.51,153.52,
70,382.0874947,34.11465457,14.80092304,45.38064089,0.142857143,0.058823529,0.142857143,64,364.293,968.628,364.293,452.2529366,-0.2956,3.72544,20,2,11,83.83,389.2,83.83,
71,382.0874947,34.11465457,21.63571365,45.38064089,0.142857143,0.058823529,0.2,64,364.293,968.628,479.825,452.2529366,-0.2956,3.72544,20,0,11,83.83,389.2,47.97,
72,382.0874947,34.11465457,16.76984402,45.38064089,0.142857143,0.058823529,0.208333333,64,364.293,968.628,330.285,452.2529366,-0.2956,3.72544,20,0,11,83.83,389.2,18.84,
73,382.0874947,34.11465457,12.73011839,45.38064089,0.142857143,0.058823529,0.235294118,64,364.293,968.628,278.206,452.2529366,-0.2956,3.72544,20,1,11,83.83,389.2,65.26,
74,382.0874947,34.11465457,6.724990191,45.38064089,0.142857143,0.058823529,0.333333333,64,364.293,968.628,173.558,452.2529366,-0.2956,3.72544,20,0,11,83.83,389.2,29.96,
75,382.0874947,34.11465457,19.76006718,45.38064089,0.142857143,0.058823529,0.285714286,64,364.293,968.628,412.319,452.2529366,-0.2956,3.72544,20,1,11,83.83,389.2,56.69,
76,382.0874947,34.11465457,7.058709813,45.38064089,0.142857143,0.058823529,0,64,364.293,968.628,184.106,452.2529366,-0.2956,3.72544,20,1,11,83.83,389.2,67.51,
77,382.0874947,34.11465457,34.11465457,45.38064089,0.142857143,0.058823529,0.058823529,64,364.293,968.628,968.628,452.2529366,-0.2956,3.72544,20,4,11,83.83,389.2,389.2,
78,382.0874947,34.11465457,35.78682347,45.38064089,0.142857143,0.058823529,0,64,364.293,968.628,1006.704,452.2529366,-0.2956,3.72544,20,2,11,83.83,389.2,349.21,
79,382.0874947,34.11465457,16.63970734,45.38064089,0.142857143,0.058823529,0.142857143,64,364.293,968.628,364.287,452.2529366,-0.2956,3.72544,20,4,11,83.83,389.2,153.52,
80,382.0874947,35.78682347,14.80092304,47.05280979,0.142857143,0,0.142857143,68,364.293,1006.704,364.293,474.9719444,-0.2956,3.72544,20,2,10,83.83,349.21,83.83,
81,382.0874947,35.78682347,21.63571365,47.05280979,0.142857143,0,0.2,68,364.293,1006.704,479.825,474.9719444,-0.2956,3.72544,20,0,10,83.83,349.21,47.97,
82,382.0874947,35.78682347,16.76984402,47.05280979,0.142857143,0,0.208333333,68,364.293,1006.704,330.285,474.9719444,-0.2956,3.72544,20,0,10,83.83,349.21,18.84,
83,382.0874947,35.78682347,12.73011839,47.05280979,0.142857143,0,0.235294118,68,364.293,1006.704,278.206,474.9719444,-0.2956,3.72544,20,1,10,83.83,349.21,65.26,
84,382.0874947,35.78682347,6.724990191,47.05280979,0.142857143,0,0.333333333,68,364.293,1006.704,173.558,474.9719444,-0.2956,3.72544,20,0,10,83.83,349.21,29.96,
85,382.0874947,35.78682347,19.76006718,47.05280979,0.142857143,0,0.285714286,68,364.293,1006.704,412.319,474.9719444,-0.2956,3.72544,20,1,10,83.83,349.21,56.69,
86,382.0874947,35.78682347,7.058709813,47.05280979,0.142857143,0,0,68,364.293,1006.704,184.106,474.9719444,-0.2956,3.72544,20,1,10,83.83,349.21,67.51,
87,382.0874947,35.78682347,34.11465457,47.05280979,0.142857143,0,0.058823529,68,364.293,1006.704,968.628,474.9719444,-0.2956,3.72544,20,4,10,83.83,349.21,389.2,
88,382.0874947,35.78682347,35.78682347,47.05280979,0.142857143,0,0,68,364.293,1006.704,1006.704,474.9719444,-0.2956,3.72544,20,2,10,83.83,349.21,349.21,
